"id","kabupaten","code","name","state_id/id"
"state_city.res_state_city1","True","res_state_city1","Kabupaten Aceh Barat","state_city.res_country_state1"
"state_city.res_state_city2","True","res_state_city2","Kabupaten Aceh Barat Daya","state_city.res_country_state1"
"state_city.res_state_city3","True","res_state_city3","Kabupaten Aceh Besar","state_city.res_country_state1"
"state_city.res_state_city4","True","res_state_city4","Kabupaten Aceh Jaya","state_city.res_country_state1"
"state_city.res_state_city5","True","res_state_city5","Kabupaten Aceh Selatan","state_city.res_country_state1"
"state_city.res_state_city6","True","res_state_city6","Kabupaten Aceh Singkil","state_city.res_country_state1"
"state_city.res_state_city7","True","res_state_city7","Kabupaten Aceh Tamiang","state_city.res_country_state1"
"state_city.res_state_city8","True","res_state_city8","Kabupaten Aceh Tengah","state_city.res_country_state1"
"state_city.res_state_city9","True","res_state_city9","Kabupaten Aceh Tenggara","state_city.res_country_state1"
"state_city.res_state_city10","True","res_state_city10","Kabupaten Aceh Timur","state_city.res_country_state1"
"state_city.res_state_city11","True","res_state_city11","Kabupaten Aceh Utara","state_city.res_country_state1"
"state_city.res_state_city12","False","res_state_city12","Kota Banda Aceh","state_city.res_country_state1"
"state_city.res_state_city13","True","res_state_city13","Kabupaten Bener Meriah","state_city.res_country_state1"
"state_city.res_state_city14","True","res_state_city14","Kabupaten Bireuen","state_city.res_country_state1"
"state_city.res_state_city15","True","res_state_city15","Kabupaten Gayo Lues","state_city.res_country_state1"
"state_city.res_state_city16","False","res_state_city16","Kota Lhokseumawe","state_city.res_country_state1"
"state_city.res_state_city17","True","res_state_city17","Kabupaten Nagan Raya","state_city.res_country_state1"
"state_city.res_state_city18","True","res_state_city18","Kabupaten Pidie","state_city.res_country_state1"
"state_city.res_state_city19","True","res_state_city19","Kabupaten Pidie Jaya","state_city.res_country_state1"
"state_city.res_state_city20","False","res_state_city20","Kota Sabang","state_city.res_country_state1"
"state_city.res_state_city21","True","res_state_city21","Kabupaten Simeulue","state_city.res_country_state1"
"state_city.res_state_city22","False","res_state_city22","Kota Subulussalam","state_city.res_country_state1"
"state_city.res_state_city23","True","res_state_city23","Kabupaten Gianyar","state_city.res_country_state2"
"state_city.res_state_city24","True","res_state_city24","Kabupaten Bangli","state_city.res_country_state2"
"state_city.res_state_city25","True","res_state_city25","Kabupaten Buleleng","state_city.res_country_state2"
"state_city.res_state_city26","True","res_state_city26","Kabupaten Tabanan","state_city.res_country_state2"
"state_city.res_state_city27","True","res_state_city27","Kabupaten Karangasem","state_city.res_country_state2"
"state_city.res_state_city28","True","res_state_city28","Kabupaten Badung","state_city.res_country_state2"
"state_city.res_state_city29","True","res_state_city29","Kabupaten Jembrana","state_city.res_country_state2"
"state_city.res_state_city30","True","res_state_city30","Kabupaten Klungkung","state_city.res_country_state2"
"state_city.res_state_city31","False","res_state_city31","Kota Denpasar","state_city.res_country_state2"
"state_city.res_state_city32","True","res_state_city32","Kabupaten Bangka Selatan","state_city.res_country_state3"
"state_city.res_state_city33","True","res_state_city33","Kabupaten Bangka Barat","state_city.res_country_state3"
"state_city.res_state_city34","True","res_state_city34","Kabupaten Belitung","state_city.res_country_state3"
"state_city.res_state_city35","False","res_state_city35","Kota Pangkal Pinang","state_city.res_country_state3"
"state_city.res_state_city36","True","res_state_city36","Kabupaten Bangka Tengah","state_city.res_country_state3"
"state_city.res_state_city37","True","res_state_city37","Kabupaten Bangka","state_city.res_country_state3"
"state_city.res_state_city38","True","res_state_city38","Kabupaten Belitung Timur","state_city.res_country_state3"
"state_city.res_state_city39","True","res_state_city39","Kabupaten Lebak","state_city.res_country_state4"
"state_city.res_state_city40","True","res_state_city40","Kabupaten Serang","state_city.res_country_state4"
"state_city.res_state_city41","False","res_state_city41","Kota Serang","state_city.res_country_state4"
"state_city.res_state_city42","True","res_state_city42","Kabupaten Tangerang","state_city.res_country_state4"
"state_city.res_state_city43","False","res_state_city43","Kota Tangerang","state_city.res_country_state4"
"state_city.res_state_city44","True","res_state_city44","Kabupaten Pandeglang","state_city.res_country_state4"
"state_city.res_state_city45","False","res_state_city45","Kota Tangerang Selatan","state_city.res_country_state4"
"state_city.res_state_city46","False","res_state_city46","Kota Cilegon","state_city.res_country_state4"
"state_city.res_state_city47","True","res_state_city47","Kabupaten Seluma","state_city.res_country_state5"
"state_city.res_state_city48","True","res_state_city48","Kabupaten Bengkulu Tengah","state_city.res_country_state5"
"state_city.res_state_city49","False","res_state_city49","Kota Bengkulu","state_city.res_country_state5"
"state_city.res_state_city50","True","res_state_city50","Kabupaten Muko Muko","state_city.res_country_state5"
"state_city.res_state_city51","True","res_state_city51","Kabupaten Rejang Lebong","state_city.res_country_state5"
"state_city.res_state_city52","True","res_state_city52","Kabupaten Kaur","state_city.res_country_state5"
"state_city.res_state_city53","True","res_state_city53","Kabupaten Bengkulu Selatan","state_city.res_country_state5"
"state_city.res_state_city54","True","res_state_city54","Kabupaten Kepahiang","state_city.res_country_state5"
"state_city.res_state_city55","True","res_state_city55","Kabupaten Lebong","state_city.res_country_state5"
"state_city.res_state_city56","True","res_state_city56","Kabupaten Bengkulu Utara","state_city.res_country_state5"
"state_city.res_state_city57","True","res_state_city57","Kabupaten Gunung Kidul","state_city.res_country_state6"
"state_city.res_state_city58","False","res_state_city58","Kota Yogyakarta","state_city.res_country_state6"
"state_city.res_state_city59","True","res_state_city59","Kabupaten Kulon Progo","state_city.res_country_state6"
"state_city.res_state_city60","True","res_state_city60","Kabupaten Sleman","state_city.res_country_state6"
"state_city.res_state_city61","True","res_state_city61","Kabupaten Bantul","state_city.res_country_state6"
"state_city.res_state_city62","False","res_state_city62","Jakarta Selatan","state_city.res_country_state7"
"state_city.res_state_city63","False","res_state_city63","Jakarta Utara","state_city.res_country_state7"
"state_city.res_state_city64","False","res_state_city64","Jakarta Pusat","state_city.res_country_state7"
"state_city.res_state_city65","False","res_state_city65","Jakarta Barat","state_city.res_country_state7"
"state_city.res_state_city66","False","res_state_city66","Jakarta Timur","state_city.res_country_state7"
